rocket_class,ascent_twr,descent_velocity,current_altitude,inferred_mass,inferred_drag_coeff,wind_speed,baseline_ignition_altitude,fault_type,TARGET_correction
Small,22.12554093463736,-52.763304680146355,763.438212358879,0.9551092801038331,0.6477401519141074,13.977254987320595,31,mass_loss,-1
Small,21.7097288320478,-52.68529842348132,763.4741224332506,1.0280506581005893,0.6134548861364668,23.321823125573143,31,wind_gust,-1
Small,22.549721654439995,-51.91682050334725,761.8918428692245,0.9840243872039856,0.7800478565412353,12.49846479918823,31,drag_change,-1
Micro,35.4294942412694,-86.98167834827136,1040.4706948106248,0.1697172368265489,0.5453897594005578,18.81773533495516,16,wind_gust,-2
Micro,39.97745413496091,-87.77122430802332,1043.524260120484,0.1743198865462095,0.633728806657657,8.409293887909314,16,wind_gust,-4
Micro,39.33457407567569,-86.94217320106975,1042.9101224982767,0.16937673040298964,0.6703960776749632,0.34966439253624304,16,thrust_var,0
Micro,40.71595509820157,-87.02050077521689,1045.3030677508586,0.15803491959939278,0.6841118230192392,2.2336981325137915,16,thrust_var,0
Micro,42.09470771491246,-87.63107358401344,1043.500265529174,0.1439212068845986,0.5607624634779649,3.7484626934619714,16,thrust_var,0
Micro,40.07639341856207,-87.01702150360042,1044.019929996853,0.16087881668225554,0.6079593703197864,0.7606881811446252,16,drag_change,-2
Micro,42.01987711212587,-88.1203294633831,1046.8160494339463,0.1543040665147241,0.6980835758787839,2.819433374310757,16,mass_loss,-2
Micro,39.24340983349722,-87.35118613219602,1040.5702160654096,0.17715985920450292,0.6165873558307756,1.9844248110951375,16,thrust_var,0
Micro,42.883990601509325,-87.70240882354848,1041.7380920594196,0.15775029624502182,0.740906845688535,8.057757603733354,16,wind_gust,-4
Micro,42.58758098419169,-87.17963538223717,1040.5041158638526,0.17493558780314028,0.8122111920792224,2.882869076791996,16,drag_change,-4
Medium,26.624404383338305,-83.23693254357502,1019.0716034291961,3.1527593520984483,0.6263148910937713,18.83457473250906,43,drag_change,-3
Medium,24.198256522690237,-84.21942628111628,1014.162484432809,2.793909736510811,0.4961816849537557,16.210472996287105,43,drag_change,-3
Medium,24.521588895408627,-84.19098320582293,1015.5366764103228,2.6553903482393344,0.5920112711699257,30.835118370340016,43,wind_gust,-2
